Feature,Coefficient
phq_score,2.929171105111955
suicidal_True,0.7310926422084081
epworth_score,0.671136535083453
depression_diagnosis_True,0.48383123372781683
age,0.28641343123831475
bmi,0.1530600103719014
school_year,-0.378549723826993
depressiveness_True,-0.4500334390991513
depression_treatment_True,-0.6013957896430777
gender_male,-1.2734129158556522
