date,row_id,row_name,total_list_size
2021-03-01,99F,NHS CASTLE POINT AND ROCHFORD,185213
2021-03-01,99G,NHS SOUTHEND,189569
2021-03-01,A3A8R,NHS NORTH EAST LONDON,2278086
2021-03-01,B2M3M,NHS COVENTRY AND WARWICKSHIRE,1026746
2021-03-01,D2P2L,NHS BLACK COUNTRY,1275597
2021-03-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",1872742
2021-03-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",1050092
2021-03-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",512106
2021-03-01,U2G6B,NHS THAMES VALLEY ICB - U2G6B,454000
2021-03-01,W2U3Z,NHS NORTH WEST LONDON,2649989
2021-03-01,X2C4Y,NHS KIRKLEES,447396
2021-04-01,00L,NHS NORTHUMBERLAND,331113
2021-04-01,00N,NHS SOUTH TYNESIDE,158453
2021-04-01,00P,NHS SUNDERLAND,284346
2021-04-01,00Q,NHS BLACKBURN WITH DARWEN,179552
2021-04-01,00R,NHS BLACKPOOL,174971
2021-04-01,00T,NHS BOLTON,317177
2021-04-01,00V,NHS BURY,207544
2021-04-01,00X,NHS CHORLEY AND SOUTH RIBBLE,187002
2021-04-01,00Y,NHS OLDHAM,260983
2021-04-01,01A,NHS EAST LANCASHIRE,391192
2021-04-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",239865
2021-04-01,01E,NHS GREATER PRESTON,216755
2021-04-01,01F,NHS HALTON,134140
2021-04-01,01G,NHS SALFORD,289607
2021-04-01,01H,NHS NORTH CUMBRIA,327111
2021-04-01,01J,NHS KNOWSLEY,168625
2021-04-01,01K,NHS MORECAMBE BAY,351442
2021-04-01,01T,NHS SOUTH SEFTON,156669
2021-04-01,01V,NHS SOUTHPORT AND FORMBY,125662
2021-04-01,01W,NHS STOCKPORT,317863
2021-04-01,01X,NHS ST HELENS,199421
2021-04-01,01Y,NHS TAMESIDE AND GLOSSOP,218688
2021-04-01,02A,NHS TRAFFORD,243836
2021-04-01,02E,NHS WARRINGTON,220725
2021-04-01,02G,NHS WEST LANCASHIRE,114019
2021-04-01,02H,NHS WIGAN BOROUGH,334915
2021-04-01,02M,NHS FYLDE AND WYRE,180451
2021-04-01,02P,NHS BARNSLEY,264277
2021-04-01,02Q,NHS BASSETLAW,120256
2021-04-01,02T,NHS CALDERDALE,222048
2021-04-01,02X,NHS DONCASTER,326111
2021-04-01,02Y,NHS EAST RIDING OF YORKSHIRE,307202
2021-04-01,03F,NHS HULL,303407
2021-04-01,03H,NHS NORTH EAST LINCOLNSHIRE,170491
2021-04-01,03K,NHS NORTH LINCOLNSHIRE,182542
2021-04-01,03L,NHS ROTHERHAM,264960
2021-04-01,03N,NHS SHEFFIELD,614259
2021-04-01,03Q,NHS VALE OF YORK,249325
2021-04-01,03R,NHS WAKEFIELD,385366
2021-04-01,03W,NHS EAST LEICESTERSHIRE AND RUTLAND,343842
2021-04-01,04C,NHS LEICESTER CITY,421899
2021-04-01,04V,NHS WEST LEICESTERSHIRE,404145
2021-04-01,04Y,NHS CANNOCK CHASE,135444
2021-04-01,05D,NHS EAST STAFFORDSHIRE,146316
2021-04-01,05G,NHS NORTH STAFFORDSHIRE,217183
2021-04-01,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,216097
2021-04-01,05V,NHS STAFFORD AND SURROUNDS,150776
2021-04-01,05W,NHS STOKE ON TRENT,296257
2021-04-01,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,994524
2021-04-01,06K,NHS EAST AND NORTH HERTFORDSHIRE,612782
2021-04-01,06L,NHS IPSWICH AND EAST SUFFOLK,406943
2021-04-01,06N,NHS HERTS VALLEYS,662255
2021-04-01,06Q,NHS MID ESSEX,400224
2021-04-01,06T,NHS NORTH EAST ESSEX,361390
2021-04-01,07G,NHS THURROCK,182624
2021-04-01,07H,NHS WEST ESSEX,321560
2021-04-01,07K,NHS WEST SUFFOLK,268151
2021-04-01,09D,NHS BRIGHTON AND HOVE,324456
2021-04-01,10Q,NHS OXFORDSHIRE,779546
