actual_cost,date,items,quantity,row_id,row_name
6087906.27,2021-03-01,704906,59014136.2,14Y,NHS BUCKINGHAMSHIRE
5573852.94,2021-03-01,642802,53033051.89999999,15A,NHS BERKSHIRE WEST
11558850.29,2021-03-01,1393690,106154618.20000003,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE"
18113291.2,2021-03-01,1998675,227860334.70000005,15E,NHS BIRMINGHAM AND SOLIHULL
11121665.19,2021-03-01,1333641,114153993.19999999,15F,NHS LEEDS
14020867.49,2021-03-01,1736130,150219925.9,15M,NHS DERBY AND DERBYSHIRE
17510826.15,2021-03-01,2231749,158898857.89999998,15N,NHS DEVON
10565181.33,2021-03-01,1450856,102708109.90000002,16C,NHS TEES VALLEY
11198317.99,2021-03-01,1301842,95915603.89999999,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
15467413.97,2021-03-01,2097322,152558478.6,26A,NHS NORFOLK AND WAVENEY
10540796.25,2021-03-01,1338829,105196937.60000001,27D,NHS CHESHIRE
9026901.67,2021-03-01,1097271,104900410.99999999,36J,NHS BRADFORD DISTRICT AND CRAVEN
15107201.51,2021-03-01,1936509,151088813.9,36L,NHS SOUTH WEST LONDON
8262014.27,2021-03-01,1045496,75584506.6,42D,NHS NORTH YORKSHIRE
13153282.95,2021-03-01,1715382,126999420.21000001,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
12423440.96,2021-03-01,1349843,117634776.70000002,70F,NHS WEST SUSSEX
12749707.21,2021-03-01,1849382,116084595.39999999,71E,NHS LINCOLNSHIRE
18161459.99,2021-03-01,2037554,183419389.3,72Q,NHS SOUTH EAST LONDON
9387262.0,2021-03-01,1366728,91439294.4,78H,NHS NORTHAMPTONSHIRE
8638862.61,2021-03-01,1380485,80971818.8,84H,NHS COUNTY DURHAM
25333552.82,2021-03-01,2914598,239844683.90000015,91Q,NHS KENT AND MEDWAY
14131527.1,2021-03-01,1428391,127048541.89999998,92A,NHS SURREY HEARTLANDS
11651581.64,2021-03-01,1539399,107797695.00000003,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
15240469.13,2021-03-01,1783410,175243309.90000004,93C,NHS NORTH CENTRAL LONDON
8742533.17,2021-03-01,993743,74237706.89999999,97R,NHS EAST SUSSEX
8036063.77,2021-03-01,1037294,105860466.20000003,99A,NHS LIVERPOOL
3142526.59,2021-03-01,482135,33755826.6,99C,NHS NORTH TYNESIDE
3393652.93,2021-03-01,369469,26946347.299999997,99E,NHS BASILDON AND BRENTWOOD
2533073.91,2021-03-01,260232,17782837.799999997,99F,NHS CASTLE POINT AND ROCHFORD
2533620.48,2021-03-01,263713,18312047.5,99G,NHS SOUTHEND
20778590.66,2021-03-01,2698056,250010030.1,A3A8R,NHS NORTH EAST LONDON
